Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"Please prepare an ISDA draft from the attached information worksheet.  If you 
have any questions, please let me know.  Thanks....","ISDA Draft needed for Carolina Holdings, Inc.",please prepare an ISDA draft from the attached information worksheet.,ISDA Draft
"Attached hereto is the License and Service Agreement (""3rd Party Posting Agreement"") for Swapco, for your review and revision to the extent you think ...",Software License Agreement,"Swapco's License and Service Agreement (""3rd party posting agreement"") is for your review and revision to the extent you think necessary.",Swapco License and Service Agreement
I hope I have the right Bob Hall.  I'm trying to get sitara access to the West and Texas Desk and they have not been approved yet.  I'm waiting for Ph...,Request Submitted: Access Request 000000000083213,I'm trying to get sitara access to the West and Texas Desk. it looks like we need to get the approving parties changed ,Request Submitted: Access Request 000000083213
"Online Auction benefiting March of Dimes

Wednesday, April 25 and Thursday, April 26
Auction opens promptly at 9:00 a.m. on Wednesday and closes Thurs...",Online Auction benefiting March of Dimes,online auction benefiting March of Dimes opens promptly at 9:00 a.m. on Wednesday and closes Thursday at 4:00 p.m. 100%,Online Auction benefiting March of Dimes
"This tool is really a breakthrough.  Real-time off our new satellite 
controller, meteorological info from NOAA's satellite!!!

Simple and easy.

just...",New Research Tool - too Cool!!!,"noAA's new satellite controller, meteorological info from satellite. type in your station of interest, example: KHOU for Houston, Texas",NOAA's satellite controller
"Hi David

FYI - Janice is out until the 22nd of Jan. so when you are finished with 
comments, please send them to me as well.  As soon as we have the ...","TVA tolling ""confirm""","Janice is out until the 22nd of Jan. so when you are finished with comments, please send them to me as soon as we have the """,Janice is out until the 22nd of Jan
"Tickets to Moody Gardens in Galveston are available.
(Includes entry into park, aquarium and 2 attractions of your choice--IMAX, Rain Forest, etc.)

T...",ETC - Event - Moody Gardens,"tickets to moody gardens in galveston are valid through July 5, 2002 Enron Travel Club Members: $16.25 each Non-Members",Moody Gardens in Galveston
"Please let me know your Executive's availability for an EWS Budget Meeting on 
Tuesday, May 1 @ 11:00 a.m.  Please note that the budget meetings will ...",EWS Budget Meetings - May,the budget meetings will be every Tuesday @ 11:00 a.m. for the month of may. the meetings should be no more than 1 hour ,EWS Budget Meeting
"To Our Valued  Traffic Report Clients,
 
Today, FriedWire's  Traffic Report experienced a disruption in service as a result of network and  general co...",Traffic Report outage and new product enhancements,FriedWire has added significant new content and capability to the Traffic Report. the new interface will allow you to search for available transmission by path.,Product Update
"We have received an executed Master Agreement:


Type of Contract:  ISDA Master Agreement (Multicurrency-Cross Border)

Effective Date:   May 5, 2000
...","Cinergy Marketing & Trading, LLC","ISDA Master Agreement Effective date: May 5, 2000 Enron Entity: Enron North America Corp. Choice of Law: Texas Copies will",ISDA Master Agreement
"For those of you who were not able to view the graphics, here is the 
non-graphics version.

Thanks...",ETS SAP Support Team Newsletter,non-graphics version of non-graphics.,Non-graphics version
"-----Original Message-----
From: Emmert, Caroline 
Sent: Thursday, September 13, 2001 2:43 PM
To: DL-Portland World Trade Center
Subject: FW: Tribute ...",Tribute to the United States,"""this Canadian thinks it is time to speak up for the Americans as the most >generous and possibly the least appreciated people on all the earth",FW: Tribute to the United States
"Please find attached the final program for an exciting conference on ""REAL
OPTIONS VALUATION IN THE NEW ECONOMY: Internet/E-commerce,
R&D/Pharmaceutic...",March NY real options conference,the deadline for hotel registration is February 21 (see attached brochure for hotel details) conference fees increase by 20% for those registering after March 1.,Real Options Conference
"That explains the Sep trade.  No, the confirm they returned does not work 
because it does not reference the guarantor.  Thanks.




Tiffany Williams@...",Paperboard Industries International,the May confirmation (NH9975.1) was signed and returned to me on October 19. there was a swaption (NZ0399,Paperboard Industries International
"Mary Beth:
Thanks very much for passing these along to Laura Tyson.  There are two 
documents.  One is a word file with a suggested list of business l...",Materials for Laura Tyson,there are two documents. one is a word file with a suggested list of business leaders. the second is a pdf file from credit,Powerpolitics012301.pdf
"Hello Stacey,

Here is my friend that I told you about yesterday.  Take a look at her resume 
and don't hesitate to ask me any questions.  Please let ...",Resume for possible Risk Management position,"Hello Stacey, here is my friend that I told you about yesterday. take a look at her resume and don't hesitate to ask",Hello Stacey
"Hotel Reservations.

 -----Original Message-----
From: 	Linda Harris <linda.harris@travelpark.com>@ENRON [mailto:IMCEANOTES-Linda+20Harris+20+3Clinda+...",WHITE/STACEY - 06OCT-13OCT - **HOTEL RES ONLY**,Hotel Reservations. a Message from: IMCEANOTES-Linda+20Harris+20+3Clind,Hotel Reservations.
"[IMAGE]=09?=20

The new, 1-15 February edition of designzine.com  is chock full of new=20
articles=01*every word and every image=01*from our =01,zine ...",New edition of designzine.com,"designzine.com is chock full of new=20 articles=01*every word and every image=01*from our =01,","Designstand.com, 1-15 February edition"
"[IMAGE] =09


=09[IMAGE][IMAGE][IMAGE] [IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE] =
=09=09


   [IMAGE]  [IMAGE]  [IMAGE]  [IMAGE]   =09=09

  ...",Post-turkey travel deals from $19!,[IMAGE] =09=09 [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE,FARE TRACKER ROUTES
"Now that there is a more concerted investigation going on, including numerous FBI agents in town seeking interviews, it is perhaps prudent to remind y...","Message from Mike Peterson re FBI interviews, etc.","there is a more concerted investigation going on, including numerous FBI agents in town seeking interviews. it is perhaps prudent to remind you that before",More concerted investigation going on
"Here is the provision in the tariff for Imbalance Trading:
Subject to the provisions of Section 17.3(h) above, Customers may resolve their monthly tra...",TGT - Imbalance Trade provisions,customers may resolve their monthly transportation imbalances by trading their imbalance with another Customer. customers must provide Texas Gas a notice of their agreement to trade imbalance,Imbalance Trading
"[IMAGE]

[IMAGE]

[IMAGE]
 [IMAGE]



 Dear Valued Customer, 

Have the UNSECURED Centennial Visa or MasterCard of your choice! 

That's right! Based ...",GET AN UNSECURED VISA NOW!!,"you will receive an initial Credit Limit of up to and be able to get Cash Advances at over 463,000 ATMs worldwide! GET AN",GET YOUR CREDIT BACK ON TRACK!
"We've done it again, everyone.   Enron has been named the ""Most Innovative 
Company in America"" for the sixth consecutive year by Fortune.  That's rig...",Most Innovative -- Six Years Straight,"Enron has been named the ""Most Innovative Company in America"" for the sixth consecutive year. the company sets the standard for doing business in","""Most Innovative Company in America"""
"===============ALLFREENEWS================

CUT YOUR BILLS BY 50% INSTANTLY -- FREE,
Non-Profit Help CAN!

1) Eliminate finance charges on your debt.
...",Slash Your Debt By 50% Instantly!!,X-Postlite-Userid: allfreenews ->>----------------------------------------,X-Postlite-Userid
"RAO,
Thanks for inserting the AEPC acronym to distinguish AEP Central in the P&L.  
If possible, please change the acronym to read  ""AEP-CTRL.""  This ...",name change for AEP Central in P&L,"if possible, please change the acronym to read ""AEP-CTRL"" this change will make it easier to distinguish this counterparty in the P",AEPC acronym for AEP Central
"Shirley,

Did we renew it?

Vince

---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 04/19/2001 03:31 PM ---------------------------


I...",Continue Enjoying IIJournals -- Renew Today!,"you can continue to get the exclusive research and practical advice for financial practitioners. by renewing now, your access to the web site and to your print",Continue Enjoying IIJournals -- Renew Today!
"The information contained herein is based on sources that we believe to be
reliable, but we do not represent that it is accurate or complete.  Nothing...",dail ngas & crude charts 1/11,the information contained herein is based on sources that we believe to be reliable. but we do not represent that it is accurate or complete.,Carr Futures
"<http://www.storybookonline.com/storybook/default.asp>	 
  <http://www.storybookheirlooms.com/images/storybook_02aa.gif>
  <http://www.storybookheirlo...",SalE-Mail!  Save up to 50% on our hottest new sale items.,http://www.storybookheirlooms.com/images/storybook_02aa.gif> http://,Free Shipping on Fabulous New Fashions!
"Meet with Regulatory Affairs.
   Questions for Mktg Rep's:
 What if we didn't provide for matching?
 Are we sure other parties will be able to take ad...",Sched Alt FT by Price,are we sure other parties will be able to take advantage of this? can we extract incremental revenue?,Mktg Rep's
"John please get with vernon and greg and see what we can do.

Thanks Lynn
--------------------------
Sent from my BlackBerry Wireless Handheld (www.Bl...",FW: Could you please....,"Lynn, greg, vernon, greg, greg and vernon are all welcome.",BlackBerry Wireless Handheld
"Monica, this looks great.  Thank you.  SRS




<Monica.Mack@chase.com> on 01/16/2001 10:31:36 AM
To: Jeff.Skilling@enron.com, sherri.sera@enron.com
cc...",JP Morgan/Chase Conference,the attached revised bio of Jeff Skilling's for your review and approval for the JP Morgan/Chase Conference Brochure.,"JKS bio Monica, per our discussion."
"Shirley,

No,that's it.

Vince




Shirley Crenshaw
11/20/2000 10:06 AM
To: Vince J Kaminski/HOU/ECT@ECT, Mike A Roberts/HOU/ECT@ECT
cc: Kevin G Moore...","""Skunkworks"" Meeting with Scott Tholan","""skunkworks"" meeting with Scott Tholan scheduled for this Wednesday, the 22nd has been cancelled. ""skunkworks"" meeting","""Skunkworks"" Meeting with Scott Tholan"
"Please check the cancellation policy for next week's seminar.  I may not be 
going.

Thanks,

Kay...",next week's conference,please check the cancellation policy for next week's seminar.,Annullation Policy
"=09=09EMAZING Home[IMAGE]Edit Your ProfilePrivacy
=09=09
=09=09
=09=09Advice and Living - Brain Candy - Business and Money - Comics - Daybr=
eakers -=...",EMAZING Health & Fitness Tip of the Day - Sprains,a sprain of the ligament that connects the bon= es=20 can occur when a joint is stretched too far beyond,CoolSavings
"Start Date: 1/8/02; HourAhead hour: 6;  No ancillary schedules awarded.  Variances detected.
Variances detected in Load schedule. 

    LOG MESSAGES:
...",Start Date: 1/8/02; HourAhead hour: 6;,Variances detected in Load schedule. $$$ Variance found in table tblLoads.,Start Date: 1/8/02; HourAhead hour: 6; CODESITE>
"Start Date: 1/13/02; HourAhead hour: 8;  No ancillary schedules awarded.  No variances detected. 

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\We...",Start Date: 1/13/02; HourAhead hour: 8;,LOG MESSAGES: PARSING FILE -->> O:PortlandWestDeskCaliforn,Start Date: 1/13/02; HourAhead hour: 8;
"Cynthia, get back to Jeff on this.  It doesn't look like a high priority to 
me, but I will absolutely defer to your judgment.
---------------------- ...","Sen. Murkowski to Address USAEE Conference, Sept. 25",--------------- Forwarded by Steven J Kean/NA/Enron on 09/14/2000 10:02 AM.,"Sen. Murkowski to Address USAEE Conference, Sept. 25"
"OneTravel.com has prepared a special web address for you that includes all of
this week's airline deals departing from your requested cities.

http://...","Save with Spirit Airlines, Icelandair, Aero Mexico and more!",oneTravel.com has prepared a special web address for you that includes all of this week's airline deals departing from your requested cities ,OneTravel.com's Savings ALERT
"Dear Ken:

By what I read, you've had quite a time lately.  Keep up the great work!.

The above will be held at the Houston Club and will be quite a f...","Downtown Historic District ""Restoration Ball,"" December 1st",ENRON has participated in the past. tables of 10 are available for $5000 and $2500.,ENRON's silent auction
"Steve,

Attached is a draft of the pack we plan to use in our discussion with Jeff
next week.  As you might imagine, we've been going through many ite...",DRAFT - Document for next week,"we look forward to getting your reaction/feedback to the structure and overall message. Suzanne asked me to give you her home number, (713)",Draft of the pack
"-----Original Message-----
From: 	""SoRelle, Andrea L"" <ASoRelle@h-s.com>@ENRON [mailto:IMCEANOTES-+22SoRelle+2C+20Andrea+20L+22+20+3CASoRelle+40h-s+2E...",New Darwin Award winners are in...,FW: new Darwin award winners are in... They have finally been released. a 41-year-old man got stuck and drowned,New Darwin Award winners are in...
"Sarah --

Can you please set up a call to discuss the following?

1. EPSA / FERC Meeting.

The Aug 24 FERC meeting and Enron's participation?  I hope ...",EPSA Marketer Conf. Call,FERC is in California meeting with people. FERC is under pressure to do something. FERC is under pressure to do something,EPSA Marketer Conf. Call
"From:  Pete

To:  Ken

Date: Friday, October 6, 2000


THE HILL REPORT
A Weekly Newsletter from Congressman Pete Sessions
Week of September 30 - Octob...",Message from Congressman Sessions,"the house passed the conference reports on the energy, interior and transportation appropriations bills. we also passed a continuing resolution agreement that will keep the",The HILL REPORT A Weekly Newsletter
"FYI
----- Forwarded by Shari Stack/HOU/ECT on 12/04/2000 10:50 AM -----

	Tom May@ENRON
	12/04/2000 12:46 AM
		 
		 To: Howard Fromer/NA/Enron@Enron, ...",NYISO - Still problems with 10/29/00 - DRE-004-11/1500,the NYISO intentionally billed for October with the incorrect prices for the proxy busses. the impact of this was that the NYISO with,NYISO - Still problems with 10/29/00 - DRE-004-11/1500
"As you are aware, Enron utilizes temporary staffing services to satisfy=20
staffing requirements throughout the company.  For the past several months,...",Improved Process for Engaging Temporary Workers,a=20 team has evaluated alternative Managed Services programs to determine which sour= ce=20 would best meet our current and future needs ,Business Unit Implementation Project Team
"Renee,
Wow!  I was so happy to get your email.  Congrats.  You guys make a cute 
couple.  I'll try to attend, it is on the calendar.
mike...",A letter from Renee and Juan,"you guys make a cute couple. I'll try to attend, it is on the calendar.",I was so happy to get your email!
"Susan:
Please ask Sara about this.
Carol



	Susan Flynn
	06/21/2000 02:04 PM
		 
		 To: Carol St Clair/HOU/ECT@ECT
		 cc: Mark Taylor/HOU/ECT@ECT, La...",TSS130 CLIENT CONTRACT CONFIRMATION,"Susan D. Flynn Enron North America Corp. 1400 Smith Street, EB3806 Houston, Texas 77002 Phone: 7",TSS130 CLIENT CONTRACT CONFIRMATION
"Stephanie, I  believe that I will have a spot on 32 for right now so assume I 
am ok.  Where are you moving to on the 8th. 

BT...",Seating requirements,I believe that I will have a spot on 32 for right now so assume I am ok.,I will have a spot on 32 for right now
"are you being sarcastic already this morning?



Eric Bass@ECT
11/29/2000 07:59 AM


To: Shanna Husser/HOU/EES@EES
cc:  
Subject: Re: December out sch...",December out schedule,Eric Bass@ECT 11/29/2000 07:59 AM To: Shanna Husser/HOU/EES cc:,December out schedule
"Print Sale Think presents!  Today (12/4) you can take advantage of the Rice 
University Art Department's Annual Print Sale!
 From 9:00 a.m. to 7:00 p....",Enron In Action 12.04.00,the annual Print Sale will be held from 9:00 a.m. to 7:00 p.m. all proceeds from ticket sales will go to ,Print Sale at Rice University
"Looks like a full slate; you're off to a great start.
Maureen -- please put times and locations on my calendar as an fyi.




Sarah Palmer@ECT
01/05/2...",2000 eSpeak Schedule,you're off to a great start. please put times and locations on my calendar as an fyi.,2000 eSpeak Schedule
"pls print.  thanks df
---------------------- Forwarded by Drew Fossum/ET&S/Enron on 03/29/2001 07:54 AM ---------------------------
From:	Shelley Corm...",Revised Section III C & D,df --------------- Forwarded by Drew Fossum/ET&S/Enron on 03/29/2001 07,Revised Section III C & D
"*  from Govt Affairs 


---------------------- Forwarded by Jennifer Rudolph/HOU/EES on 05/08/2001 
12:48 PM ---------------------------


Susan J Mar...",NEWS: WIndfall Profits --passes Senate,"the Assembly has its own bill -- 128X, which is working its way through Committee. the Senate bill has an $80 benchmark (above",SB 1x passed the State Senate late this afternoon
"SAN DIEGO--(BUSINESS WIRE)-October 24, 2001--American Fire Retardant Corp. =
(OTCBB:AFRC),(www.americanfireretardant.com), a fire protection company t...",American Fire Retardant Corp. Announces Contracts OTCBB:AFRC,tha= t specializes in fire prevention and fire containment for the safety of liv= es in our community and businesses ,American Fire Retardant Corp.
"Can you forward this information along to Kimberly in the Confirms group? 
Thanks so much.

Kate
---------------------- Forwarded by Kate Symes/PDX/EC...",Need Contact Info...,Kate ------------------ Forwarded by Kate Symes/PDX/ECT on 03/01/2001 03:03 PM ---------,Need Contact Info...
"What's up?  Did Rick fire you?  Or does he work for you now?  DF
---------------------- Forwarded by Drew Fossum/ET&S/Enron on 10/12/2000=20
03:17 PM ...",Government Affairs Organizational Changes,the challenges and opportunities at=20 Enron seem to be expanding with every passing day. this presents enormous= =20 challenges for Government Affairs as,Government Affairs Organizational Changes
"Per Carol St. Clair, at this time, there is no urgency in finalizing and executing any master netting agreements.  No master netting agreement should ...",Master Netting Agreements,there is no urgency in finalizing and executing any master netting agreements. no master netting agreement should be signed without Bill Bradford',Master netting agreements
"Guys,
 Paul Simon's has advised us that EnronOnline will need to include standard 
SFA language on each Home Page in the garden area where we are prom...",EnronOnline and SFA requirements,EnronOnline will need to include standard SFA language on each Home Page in the garden area where we are promoting the services of Enron,EnronOnline - Standard SFA Language
"Ben Jacoby has asked that I forward the attached drafts of the letter 
agreement and LLC agreement.  These forms relate to the ""turbine only"" LLC, 
bu...",Draft LLC and letter agreement,"the attached drafts relate to the ""turbine only"" LLC. the documents are subject to an internal review.",Enron Internal Review
"Your registration in Derivatives I - Applied Energy Derivatives on July 27 - 
28, 2000 has been canceled.  You will not be charged for this class.  

...",Class Registration Canceled,your registration in Derivatives I - Applied Energy Derivatives has been canceled. you will not be charged for this class,Derivatives I - Applied Energy Derivatives
"I'm working w/ accounting on cleaning up Rho/Drift for Jan - June 2001.

Also, Clara Carrington and I are working on the Sept 2001.  Right now, we are...",Path to the ENA-California files,I'm working w/ accounting on cleaning up Rho/Drift for Jan - June 2001. we are verifying to make sure,Path to the ENA-California files
"fyi...


Holly Keiser
Enron Americas
Legal Department - EB 3887
713-345-7893 (ph)
713-646-3490 (fx)
Holly.Keiser@enron.com
----- Forwarded by Holly Ke...",Tana Jones May 2 trip to San Antonio,Holly Keiser - EB 3887 713-345-7893 (ph) 713-646-3490 (fx),Tana Jones May 2 trip to San Antonio AGENT RF/RF BOOKING
"However you would have to agree that we have some level of control over the GP.
--------------------------
Sent from my BlackBerry Wireless Handheld (...",Exhibit E-2 to TW & NNG Loans; Separateness Agreement,my BlackBerry Wireless Handheld (www.BlackBerry.net) has some level of control.,BlackBerry Wireless Handheld
"Distributed Power: The Next Big Investment?
 
With today's electricity demand expanding beyond the reach of available 
supply, and nationwide electric...",Distributed Power: The Next Big Investment?,"a new wave of investment in the power industry has just begun, says an analyst. he says microturbines are the best positioned",Distributed Power: The Next Big Investment
"Tana apologies. I check the list each morning and only respond if there is an 
issue. Both enitities are approved from a legal perspective. I have rai...",Counterparty Approval List for 8/24/00,both enitities are approved from a legal perspective. both enitities are approved from a legal perspective.,Counterparty Approval List for 8/24/00
"Unable to this time.

Mark Pickering=20
Chief Technology Officer

Enron Net Works, LLC

  _____ =20


 -----Original Message-----
From: =09Piper, Greg...",Agenda for GSS's 3rd Quarter Business Review,"Mark Pickering=20 Chief Technology Officer Enron Net Works, LLC _____ =20 -----Original Message----- From:",Agenda for GSS's 3rd Quarter Business Review
"Sally,

Thanks for the email and update.  I agree that we must do something quickly 
to resolve this.  I believe that you should interview for summer ...",Hiring Practices for Summer Interns,mike Enron North America Corp. was told that a decision was made at the Program level to not interview this fall for summer interns,Hiring Practices for Summer Interns
"Yes, I need the chart to reflect EACH MONTH during the term of the 
transaction.  Sara...",Sonoco Products Company,the chart needs to reflect EACH MONTH.,Chart for MONTH
"What is your thought on this.  Since we've taken our customers back, this=
=20
could be dangerous -- but it has already been filed.  Can you see any w...",ABAG Petition for Modification of D.01-05-064,this= =20 could be dangerous -- but it has already been filed. we have 30 days to respond.,"""ARM"" Enron Corp."
"FRANCISCO GROS
President of the National Bank
for Economic and Social Development (BNDES), Brazil
BRAZIL'S PRIVATIZATION AGENDA
Thursday, June 14, 200...","Francisco Gros - June 14, 2001","FRANCISCO GROS president of the national bank for economic and social development (BNDES), BRAZIL's PRIVATIZ","Council of the Americas, 680 Park Avenue, New York City"
"Thanks in advance for agreeing to speak at the Global Operations Controller 
Forum.  There will be approximately 30 Enron business controllers present...",Speaking Engagement on October 23,there will be approximately 30 Enron business controllers present at the forum. all have responsibility for mid and back office operations for the following Enr,Global Operations Controller Forum
The report named: East P/L Totals <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=1&report_name=East+P/L+Totals&category_cd=1&category_name=EAS...,TRV Notification:  (East P/L Totals - 10/02/2001),the report named: East P/L Totals is now available for viewing on the website.,East P/L Totals Report
"Start Date: 4/9/01; HourAhead hour: 8;  No ancillary schedules awarded.  No 
variances detected.

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\Wes...",Start Date: 4/9/01; HourAhead hour: 8;  <CODESITE>,LOG MESSAGES: PARSING FILE --> O:PortlandWestDeskCaliforni,Start Date: 4/9/01; HourAhead hour: 8; CODESITE>
"Greg and Ben,

So is it about time to get Lisa, Herman and Rose involved in the PAD stuff?

Kay


From: Greg Krause/ENRON@enronXgate on 06/06/2001 12:...",Midway Interconnect Agreement,a&K did the title committment work and is now working on the Property Association Documents. Christi left me a message saying,Midway Interconnect Agreement
"<<5-14-01.pdf>>

Richard Costigan, III
Chief of Staff
Office of the Assembly Republican Leader
California State Assembly
Phone:(916) 319-2005




 - 5...","Energy Briefing paper for Monday, May 14th","Richard Costigan, III Chief of Staff Office of the Assembly Republican Leader California State Assembly Phone:(916) 319-2005 - 5-14-01",California State Assembly
"Sara:
Please call me or stop by to discuss as they need an answer quickly.  I have 
e-mailed Mark Evans and Justin Boyd about this.

Carol St. Clair
E...",Kaiser US/UK Setoff w/MG and ENA,west power is looking to do a financial swap with Kaiser Aluminum & Chemical Corporation. if the UK is going to continue to do short-,Kaiser US/UK Setoff w/MG and ENA
"Karen:

This is the last day of grade school for my son and I will be taking off early to attend a school graduation party with him and will not be av...",Trading Track - Interviews: Wednesday May 30th,this is the last day of grade school for my son and I will be taking off early to attend a school graduation party with him. we will,Trading Track - Interviews: Wednesday May 30th
Per Jan's recent Commission meeting summary I just noticed the Commission had added a discussion item on OFOs.  They didn't get to this at yesterday's...,FERC Discussion on OFOs,"this is an absolutely critical tool for us to keep, even though we seldom use. the FERC will take up on Oct. 11.",Commission Meeting Summary
"Meeting 3:
We have an extremely tight interview schedule next Tuesday with the first 
interview scheduled for 8am. I propose meeting at 7:30am to quic...",Update - Mtg 3 & Interview List,we have an extremely tight interview schedule next Tuesday with the first interview scheduled for 8am. I propose meeting at 7:30am to quickly review candidate responses,Meeting 3
"Could you please add Kyle Etter and Victor Guggenheim to all future social 
club events?


Thanks,

Eric...",Social club initiates,could you please add Kyle Etter and Victor Guggenheim to all future social club events?,Kyle Etter and Victor Guggenheim
"Thanks for the report.  Just what I needed.


From: PEGGY FOWLER/ENRON@enronxgate on 04/27/2001 05:16 PM
To: Stanley Horton/Corp/Enron@Enron
cc: Mary ...",WEEKLY BUSINESS ACTIVITY UPDATES,"FERC ordered the Cal ISO to file by 6/1/01, a RTO proposal with FERC. FERC's",WEEKLY BUSINESS ACTIVITY
The report named: West VaR <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=36&report_name=West+VaR&category_cd=2&category_name=WEST&toc_hide=1&...,TRV Notification:  (West VaR - 12/06/2001),report named: west VaR is now available for viewing on the website.,West VaR Report
"Part 3 of 3

The Blue Chips

Here's my updated list of the state's top 100 junior prospects. The ones
below the * * * * at each position are my Fabulo...","True Orange, September 10, 2001, Part 3","the top 100 Recruits Quarterback (9) Vincent Young, 6-5, 200, 4.5, Hst Madison (Mia, L",Top 100 Recruits Quarterback (9)
"the chart below graphs the major plans that represent the unexercised vested 
options retained by employees and show whether the average grant prices....",Unexercised Vested Options - 68%,the chart below graphs the major plans that represent the unexercised vested options retained by employees and show whether the average grant prices ,Requested Information
"-----Original Message-----
From: Manuel, Erica [mailto:Erica.Manuel@edelman.com]
Sent: Wednesday, September 12, 2001 9:47 AM
To: Allen, Stevan; AReM; ...",San Diego Union-Tribune: Rush to beat direct-access purchase,"some utility customers are rushing to sign contracts with generators for cheaper power. the state plans to ban ""direct access"" contracts with generators to",San Diego Union-Tribune: Rush to beat direct-access purchase ban
"In answer to your first point, the FERC did exempt demand side bids from the 
$150.  See footnote No. 84 of the order.




Susan J Mara@ENRON
11/02/20...",November 9 FERC Comments,the FERC exempted demand side bids from the $150. the FERC could easily eliminate the problem by exempting demand,November 9 FERC Comments
"Alan spoke to Belden - he doesn't want to limit our involvement to TFG.  We can still join w/ TFG's comments/oral statements, though.

-----Original M...",EL01-68-000 Request to Make a Statement,"w/ TFG's comments/oral statements can still be joined. a letter making the same request, along with Mr. Comnes",EL01-68-000 Request to Make a Statement
"I think I found what you're looking for:

www.ferc.fed.us

Once you get to the home page, click on the ""gas"" icon. From there, hit the 
link to the ""F...",Gas Tariffs Info. Online,www.ferc.fed.us gives you a choice of viewing the tariffs in HTML or saving them to a different file. the,www.ferc.fed.us
"Chinese Wall training of one hour has been scheduled on the dates listed=20
below.  The training is mandatory and allows EWS to continue operating all...","""Chinese Wall"" Classroom Training",the training is mandatory and allows EWS to continue operating all= =20 its buisnesses including equity trading without violating the securities la=,Chinese Wall Training of one hour
"Jay:

You and I can talk through the issues.  The key point is that you have to 
vote the best interest of the corporation on whose board you sit and ...",Convergent Board Seat,Jay: You and I can talk through the issues. the key point is that you have to vote the best interest of the corporation on whose board,You and I can talk through the issues
"Baldwin reports as follows:

I spoke to Jerry Miller, PG&E, today concerning the unbundled CTA storage
option now being drafted in the PG&E tariff. He...",Info from Mark Baldwin re storage issues,"PG&E customers will have the option to elect ""Alternate Resources"" as prescribed in the documentation now being reviewed. the new rates",Unbundled CTA storage option now being drafted
"FYI - Please see additional details for tomorrow's meeting.

Thanks!
Amy

 -----Original Message-----
From: 	Davies, Neil  
Sent:	Tuesday, January 22,...",Welcome to UBS meeting tommorrow 10.15 am @ the Houstonian -,the meeting will last until 1pm approximately and will last until 1pm approximately. the meeting will last until 1pm approximately and will be presented by senior,Welcome to UBS meeting tommorrow
"---------------------- Forwarded by Irena D Hogan/HOU/ECT on 05/09/2000 08:49 
AM ---------------------------


Information Risk Management
05/09/2000...",Request Submitted: Access Request (IDHN-4K6J65),Irena D Hogan/HOU/ECT on 05/09/2000 08:49 AM --------------- Information Risk Management 05,Request Submitted: Access Request (IDHN-4K6J65)
"That is fine.  You can disregard the MAC clause.  I guess I am just so used to putting it in for the EEI.

Thanks

 -----Original Message-----
From: 	...",**HIGH PRIORITY** AltaGas Services Inc. CW for ISDA,I do not think you need a MAC if you have a tiered Threshold. please confirm so that we can prepare,**HIGH PRIORITY** AltaGas Services Inc.
"Hello Eric Saibi,

 This is an automated email delivery.  The following info is for
 tracking purposes only:

 Transaction: 0000197746
 Fulfillment: 0...",Daily Outage Updates (excluding WSCC),the following info is for tracking purposes only: Transaction: 0000197746 Fulfillment: 00203618*00002 Location: 000,Automated email delivery
"John  

If you get a chance give me a call I would like to talk about this product....",Net Energy Clearing Corp (NECC),John If you get a chance give me a call I would like to talk about this product.,I would like to talk about this product
"PG&E is hosting its fifth stakeholders meeting for the 2001 PG&E
Transmission Expansion Plan on September 17 and 18, 2001 in San Francisco,
CA.  The p...",CAISO Notice: PG&E Expansion Plan Stakeholders Meeting #5,"PG&E is hosting its fifth stakeholder meeting for the 2001 PG&E Transmission Expansion Plan on September 17 and 18, 2001.",Stakeholders Meeting #5 - PG&E 2001 Electric Grid Expansion Plan - Bay Area Plans
"Elisa,

We, Tim and I, need to schedule the meeting with Vince Kaminski, preferably on Monday for the about 45 min.

ANITA L DUPONT <> ASST SR ADMIN (...",meeting with VINCE  KAMINSKI,a reusable module that cuts cost of delivery w/each additional student. a reusable module that cuts cost of delivery w,Replacement/Supplementing of current instructor lead
"MEMORANDUM


TO: Regulatory Affairs Committee
       Power Marketing Working Group

FROM: Jim Steffes, Regulatory Affairs Committee Chair
            ...",October 31st Power Marketing Conference Call Agenda,"our weekly Power Marketers Working Group conference call will be held on Wednesday, October 31st, at 3:30 p.m. (EST)",October 31st Power Marketing Conference Call
"pls put on my calendar
----- Forwarded by Sara Shackleton/HOU/ECT on 09/25/2000 02:19 PM -----

	Chaundra Woods
	09/25/2000 11:24 AM
		 
		 To: Mary C...",Additional Raptor SWAP Processes Meeting,"additional Raptor SWAP meeting is scheduled for Tuesday, September 26, 2000 at 9:30 a.m. in EB38C1.",Additional Raptor SWAP Processes Meeting
"Sara - I would be very grateful if you could have the attached executed and 
faxed to Matt Flett at MS in London, with a copy to myself asap.

Many th...","Morgan Stanley Capital Services, Inc. (""MSCS"")",the attached executed and faxed to Matt Flett at MS in London. he advised that EnronCredit.com,Morgan Stanley Capital Services Inc.
